Fecha,ID,NPS Group,NPS,Comment,UsuarioDecisión,Canal,Palanca,Subpalanca
2026-01-21 09:24:53,123017667,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-17 15:11:54,124169197,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-11 15:39:58,123981518,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-17 13:05:49,124165280,PROMOTOR,10,excelente,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-01-24 14:14:37,123208922,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-22 18:22:36,123130927,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-19 11:19:16,122919271,PROMOTOR,10,Excelente!,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 15:45:12,123651635,PASIVO,7,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 16:19:39,123706343,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-12 16:59:13,124018979,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-18 11:40:45,124197668,PASIVO,8,a veces falla y continuamente piden opinion y hace lento la salida de la aplicacion,Sí,Web,Uso,Molestia por la encuesta
2026-02-20 16:28:45,124281449,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-14 14:52:15,122767290,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-06 11:15:12,123798460,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-20 09:14:47,122960814,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-16 16:48:53,124136913,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 11:11:22,123637104,PROMOTOR,10,.,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-28 09:33:41,123373578,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-06 10:57:37,123797555,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-05 17:05:57,122353673,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 20:49:12,123660539,PROMOTOR,9,MUY BIEN EN TODO,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-07 12:16:42,122467485,PASIVO,8,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-07 20:47:43,122487268,PASIVO,7,La banca empresarial tiene fallas,No,Web,Funcionamiento Continuo,No funciona bien/ falla
2026-02-04 15:23:07,123704043,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-26 14:05:20,123288945,DETRACTOR,0,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 14:11:06,123647634,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-16 17:19:52,122853134,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-09 15:47:06,122587204,DETRACTOR,3,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-11 14:35:06,123979628,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-17 09:32:33,124156758,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-19 13:01:51,124241401,DETRACTOR,3,Poco amigable la app negocios pymes...,Sí,BBVA,Otros Canales,App
2026-01-29 16:06:22,123431378,PROMOTOR,10,LA FACILIDAD DE LOS PROCESO ES MUY BUENA,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-01-14 09:48:53,122754608,DETRACTOR,0,siempre batallo para realizar movimientos desde mi banca en computadora,Sí,Web,Funcionamiento Continuo,Pagos/ Transferencias
2026-02-16 13:58:10,124129593,PROMOTOR,10,EXELENTE,Sí,Otros,Sin Comentarios,Sin Comentarios
